game_rom	RAINE_v0.51.0	1944	nff.13m	\N	\N	4194304	c9fca741	1781d4fc18b6d6f79b7b39d9bcace750fb61a5cf	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.15m	\N	\N	4194304	f809d898	a0b6af49e1780678d808c317b875161cedddb314	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.17m	\N	\N	4194304	15ba4507	bed6a82bf1dc1aa501d4c2d098115a15e18d446a	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.19m	\N	\N	4194304	3dd41b8c	676078baad789e25f6e5a79de29672587be7ff00	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.14m	\N	\N	1048576	3fe3a54b	0a8e5cae141d24fd8b3cb11796c44728b0acd69e	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.16m	\N	\N	1048576	565cd231	0aecd433fb4ca2de1aca9fbb1e314fb1f6979321	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.18m	\N	\N	1048576	63ca5988	30137fa77573c84bcc24570bccb7dba61ddb413c	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.20m	\N	\N	1048576	21eb8f3b	efa69f19a958047dd91a294c88857ed3133fcbef	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.01	\N	\N	131072	d2e44318	33e45f6fe9fed098a4c072b8c39406aef1a949b2	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.11m	\N	\N	4194304	243e4e05	83281f7290ac105a3f9a7507cbc11317d45ba706	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	1944	nff.12m	\N	\N	4194304	4fcf1600	36f18c5d92b79433bdf7088b29a244708929d48e	\N	\N	\N	\N	\N	\N	
game_archive	RAINE_v0.51.0	1944	1944	
game	RAINE_v0.51.0	19xxb	\N	\N	19xx	19xx	\N	19XX: The War Against Destiny (Brazil 951218)	1996	Capcom	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19xb.03a	\N	\N	524288	341bdf4a	e7deccd034f2a2664507dbb7fed9757c2424dbf7	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19xb.04a	\N	\N	524288	dff8069e	3b31d1f66680cee1da3f3d3fd822739e99f48ccd	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19xb.05a	\N	\N	524288	a47a92a8	20254ec70029ec027793d4fbd9a7067c2a756315	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19xb.06a	\N	\N	524288	c52df10d	88707c4d1ec8649a7e10ec60e5bbc6f5ffb26f73	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.07	19x.07	\N	524288	61c0296c	9e225beccffd14bb53a32f8c0f2aef7f331dae30	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.01	19x.01	\N	131072	ef55195e	813f465f2d392f6abeadbf661c54cf51171fa006	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.13m	19x.13m	\N	524288	427aeb18	901029b5423e4bda85f592735036c06b7d426680	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.15m	19x.15m	\N	524288	63bdbf54	9beb64ef0a8c92490848599d5d979bf42532609d	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.17m	19x.17m	\N	524288	2dfe18b5	8a44364d9af6b9e1664b44b9235dc172182c9eb8	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.19m	19x.19m	\N	524288	cbef9579	172413f220b242411218c7865e04014ec6417537	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.14m	19x.14m	\N	2097152	e916967c	3f937022166149a80585f91388de521055ca88ca	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.16m	19x.16m	\N	2097152	6e75f3db	4e1c8466eaa612102d0807d2e8bf1004e97476ea	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.18m	19x.18m	\N	2097152	2213e798	b1a9d5547f3f6c3ab59e8b761d224793c6ca33cb	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.20m	19x.20m	\N	2097152	ab9d5b96	52b755da401fde90c13181b02ab33e5e4b2aa1f7	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.11m	19x.11m	\N	2097152	d38beef3	134e961b926a97cca5e45d3558efb98f6f278e08	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxb	19x.12m	19x.12m	\N	2097152	d47c96e2	3c1b5563f8e7ee1c450b3592fcb319e928caec3c	\N	\N	\N	\N	\N	\N	
game_archive	RAINE_v0.51.0	19xxb	19xxb	
game	RAINE_v0.51.0	19xxh	\N	\N	19xx	19xx	\N	19XX: The War Against Destiny (Hispanic 951218)	1996	Capcom	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19xh.03a	\N	\N	524288	357be2ac	660641d8cd2f7b574809badf99924f0a31a0cccd	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19xh.04a	\N	\N	524288	bb13ea3b	3ae0fa09ae031e2a0f1ea8645a9baced44289383	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19xh.05a	\N	\N	524288	cbd76601	a6b64e5f4b35a120dc463a6c9e98e2ec8e739e59	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19xh.06a	\N	\N	524288	b362de8b	0383a44efbfccdc78637995ed4f99740ef96cbad	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.07	19x.07	\N	524288	61c0296c	9e225beccffd14bb53a32f8c0f2aef7f331dae30	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.01	19x.01	\N	131072	ef55195e	813f465f2d392f6abeadbf661c54cf51171fa006	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.13m	19x.13m	\N	524288	427aeb18	901029b5423e4bda85f592735036c06b7d426680	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.15m	19x.15m	\N	524288	63bdbf54	9beb64ef0a8c92490848599d5d979bf42532609d	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.17m	19x.17m	\N	524288	2dfe18b5	8a44364d9af6b9e1664b44b9235dc172182c9eb8	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.19m	19x.19m	\N	524288	cbef9579	172413f220b242411218c7865e04014ec6417537	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.14m	19x.14m	\N	2097152	e916967c	3f937022166149a80585f91388de521055ca88ca	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.16m	19x.16m	\N	2097152	6e75f3db	4e1c8466eaa612102d0807d2e8bf1004e97476ea	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.18m	19x.18m	\N	2097152	2213e798	b1a9d5547f3f6c3ab59e8b761d224793c6ca33cb	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.20m	19x.20m	\N	2097152	ab9d5b96	52b755da401fde90c13181b02ab33e5e4b2aa1f7	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.11m	19x.11m	\N	2097152	d38beef3	134e961b926a97cca5e45d3558efb98f6f278e08	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxh	19x.12m	19x.12m	\N	2097152	d47c96e2	3c1b5563f8e7ee1c450b3592fcb319e928caec3c	\N	\N	\N	\N	\N	\N	
game_archive	RAINE_v0.51.0	19xxh	19xxh	
game	RAINE_v0.51.0	19xxjr1	\N	\N	19xx	19xx	\N	19XX: The War Against Destiny (Japan 951207)	1996	Capcom	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19xj.03	\N	\N	524288	26a381ed	9a6bd9a8c152096f653c0b5a161dd08314fdb5e7	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19xj.04	\N	\N	524288	30100cca	3fc964e6daffa5dd7b9f72c8ace3a4b9d515e9ce	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19xj.05	\N	\N	524288	de67e938	5f977c07c6ffa816ccfa2c7bab8a77b64c232610	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19xj.06	\N	\N	524288	39f9a409	45799204d2400a591c526f8c750e4728701372bf	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.07	19x.07	\N	524288	61c0296c	9e225beccffd14bb53a32f8c0f2aef7f331dae30	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.01	19x.01	\N	131072	ef55195e	813f465f2d392f6abeadbf661c54cf51171fa006	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.13m	19x.13m	\N	524288	427aeb18	901029b5423e4bda85f592735036c06b7d426680	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.15m	19x.15m	\N	524288	63bdbf54	9beb64ef0a8c92490848599d5d979bf42532609d	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.17m	19x.17m	\N	524288	2dfe18b5	8a44364d9af6b9e1664b44b9235dc172182c9eb8	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.19m	19x.19m	\N	524288	cbef9579	172413f220b242411218c7865e04014ec6417537	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.14m	19x.14m	\N	2097152	e916967c	3f937022166149a80585f91388de521055ca88ca	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.16m	19x.16m	\N	2097152	6e75f3db	4e1c8466eaa612102d0807d2e8bf1004e97476ea	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.18m	19x.18m	\N	2097152	2213e798	b1a9d5547f3f6c3ab59e8b761d224793c6ca33cb	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.20m	19x.20m	\N	2097152	ab9d5b96	52b755da401fde90c13181b02ab33e5e4b2aa1f7	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.11m	19x.11m	\N	2097152	d38beef3	134e961b926a97cca5e45d3558efb98f6f278e08	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxjr1	19x.12m	19x.12m	\N	2097152	d47c96e2	3c1b5563f8e7ee1c450b3592fcb319e928caec3c	\N	\N	\N	\N	\N	\N	
game_archive	RAINE_v0.51.0	19xxjr1	19xxjr1	
game	RAINE_v0.51.0	19xxj	\N	\N	19xx	19xx	\N	19XX: The War Against Destiny (Japan 951225)	1996	Capcom	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19xj.03a	\N	\N	524288	ed08bdd1	4b49f988faf4a6a99d3596bb12e4685862a20a3e	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19xj.04a	\N	\N	524288	fb8e3f29	513b85bfe5b86692faa4d20b755fe261a7f95bfc	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19xj.05a	\N	\N	524288	aa508ac4	c906f4a92872f4ecda662146690acbe5165ae79e	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19xj.06a	\N	\N	524288	ff2d785b	9294fb3ed378ecc9dccdeff05df09cbb4eeaa9b3	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.07	19x.07	\N	524288	61c0296c	9e225beccffd14bb53a32f8c0f2aef7f331dae30	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.01	19x.01	\N	131072	ef55195e	813f465f2d392f6abeadbf661c54cf51171fa006	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.13m	19x.13m	\N	524288	427aeb18	901029b5423e4bda85f592735036c06b7d426680	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.15m	19x.15m	\N	524288	63bdbf54	9beb64ef0a8c92490848599d5d979bf42532609d	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.17m	19x.17m	\N	524288	2dfe18b5	8a44364d9af6b9e1664b44b9235dc172182c9eb8	\N	\N	\N	\N	\N	\N	
game_rom	RAINE_v0.51.0	19xxj	19x.19m	19x.19m	\N	524288	cbef9579	172413f220b242411218c7865e04014ec6417537	\N	\N	\N	\N	\N	\N	
