game	CAGE_v1.07	asteroid	\N	\N	\N	\N	\N	Asteroids (rev 2)	1979	Atari	\N	\N	\N	
game	CAGE_v1.07	pacman	\N	\N	\N	\N	\N	Pac-Man (Midway)	1980	[Namco] (Midway license)	\N	\N	\N	
game_rom	CAGE_v1.07	pacman	pacman.6e	\N	\N	4096	c1e6ab10	e87e059c5be45753f7e9f33dff851f16d6751181	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	pacman	pacman.6f	\N	\N	4096	1a6fb2d4	674d3a7f00d8be5e38b1fdc208ebef5a92d38329	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	pacman	pacman.6h	\N	\N	4096	bcdd1beb	8e47e8c2c4d6117d174cdac150392042d3e0a881	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	pacman	pacman.6j	\N	\N	4096	817d94e3	d4a70d56bb01d27d094d73db8667ffb00ca69cb9	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	pacman	pacman.5e	\N	\N	4096	0c944964	06ef227747a440831c9a3a613b76693d52a2f0a9	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	pacman	pacman.5f	\N	\N	4096	958fedf9	4a937ac02216ea8c96477d4a15522070507fb599	\N	\N	\N	\N	\N	\N	
game	CAGE_v1.07	pacnpal	\N	\N	\N	\N	\N	Pac & Pal	1983	Namco	\N	\N	\N	
game_rom	CAGE_v1.07	pacnpal	pap13b.cpu	\N	\N	8192	ed64a565	b16930981490d97486d4df96acbb3d1cddbd3a80	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	pacnpal	pap12b.cpu	\N	\N	8192	15308bcf	334603f8904f8968d05edc420b5f9e3b483ee86d	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	pacnpal	pap11b.cpu	\N	\N	8192	3cac401c	38a14228469fa4a20cbc5d862198dc901842682e	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	pacnpal	pap14.cpu	\N	\N	4096	330e20de	5b23e5dcc38dc644a36efc8b03eba34cea540bea	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	pacnpal	pap16.cpu	\N	\N	4096	a36b96cb	e0a11b5a43cbf756ddb045c743973d0a55dbb979	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	pacnpal	pap15.vid	\N	\N	8192	fb6f56e3	fd10d2ee49b4e059e9ef6046bc86d97e3185164d	\N	\N	\N	\N	\N	\N	
game	CAGE_v1.07	qix	\N	\N	\N	\N	\N	Qix (set 1)	1981	Taito America Corporation	\N	\N	\N	
game_rom	CAGE_v1.07	qix	u12	\N	\N	2048	aad35508	5fa72e00b4373de21e27a86b49a44a9769f769f4	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	qix	u13	\N	\N	2048	46c13504	19c084c38b75f14bf5094b317afeecaca6870f7a	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	qix	u14	\N	\N	2048	5115e896	8359a1700fff7a38e8ea4f92a4f18bc628cf1cb1	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	qix	u15	\N	\N	2048	ccd52a1b	86d134cd769ef12820638b96a4ffedd8b15dffd2	\N	\N	\N	\N	\N	\N	
game_rom	CAGE_v1.07	qix	u16	\N	\N	2048	cd1c36ee	b379b1fe3109947a12c9683cd0c2400c2ee845b3	\N	\N	\N	\N	\N	\N	
