game	Pac-X_v0.2	pacman	\N	\N	\N	\N	\N	Pac-Man (Midway)	1980	[Namco] (Midway license)	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	pacheart.pg4	\N	\N	2048	842d6574	40e32d09cc8d701eb318716493a68cf3f95d3d6d	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	pacheart.pg5	\N	\N	2048	9045a44c	a97d7016effbd2ace9a7d92ceb04a6ce18fb42f9	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	pacheart.pg6	\N	\N	2048	888f3c3e	c2b5917bf13071131dd53ea76f0da86706db2d80	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	pacheart.pg7	\N	\N	2048	f5265c10	9a320790d7a03fd6192a92d30b3e9c754bbc6a9d	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	pacheart.pg8	\N	\N	2048	1a21a381	d5367a327d19fb57ba5e484bd4fda1b10953c040	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	pacheart.ch1	\N	\N	2048	c62bbabf	f6f28ae33c2ab274105283b22b49ad243780a95e	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	chg2	\N	\N	2048	3591b89d	79bb456be6c39c1ccd7d077fbe181523131fb300	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	pacheart.ch3	\N	\N	2048	ca8c184c	833aa845824ed80777b62f03df36a920ad7c3656	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	pacheart.ch4	\N	\N	2048	1b1d9096	53771c573051db43e7185b1d188533056290a620	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	82s126.4a	\N	\N	256	3eb3a8e4	19097b5f60d1030f8b82d9f1d3a241f93e5c75d6	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	pacheart	82s126.1m	\N	\N	256	a9cc86bf	bbcec0570aeceb582ff8238a4bc8546a23430081	\N	\N	\N	\N	\N	\N	
game	Pac-X_v0.2	piranha	\N	\N	\N	\N	\N	Piranha	1981	hack	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	pr1.cpu	\N	\N	4096	bc5ad024	a3ed781b514a1068b24a7146a28f0a2adfaa2719	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	pacman.6f	\N	\N	4096	1a6fb2d4	674d3a7f00d8be5e38b1fdc208ebef5a92d38329	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	pr3.cpu	\N	\N	4096	473c379d	6e7985367c3e544b4cb98ba8291908df88eafe7f	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	pr4.cpu	\N	\N	4096	63fbf895	d328bf3b8f307fb774614834edec211117148e64	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	pr5.cpu	\N	\N	2048	3fc4030c	5e45f0c19cf96daa17afd2fa1c628d7ac7f4a79c	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	pr7.cpu	\N	\N	2048	30b9a010	b0ba8b6cd430feb32d11d092e1959b9f5d240f1b	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	pr6.cpu	\N	\N	2048	f3e9c9d5	709a75b2457f21f0f1a3d9e7f4c8579468ee5cad	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	pr8.cpu	\N	\N	2048	133d720d	8af75ed9e115a996379acedd44d0c09332ec5a03	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	82s126.4a	\N	\N	256	3eb3a8e4	19097b5f60d1030f8b82d9f1d3a241f93e5c75d6	\N	\N	\N	\N	\N	\N	
game_rom	Pac-X_v0.2	piranha	82s126.1m	\N	\N	256	a9cc86bf	bbcec0570aeceb582ff8238a4bc8546a23430081	\N	\N	\N	\N	\N	\N	
