game	TempestGL	tempest	\N	\N	\N	\N	\N	Tempest (rev 3)	1980	Atari	\N	\N	\N	
game_rom	TempestGL	vectorb	136002.114	136002.114	\N	2048	11077375	ed8ff0ca969da6672a7683b93d4fcf2935a0d903	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	136002.115	136002.115	\N	2048	f3e2827a	bd04fcfbbba995e08c3144c1474fcddaaeb1c700	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	136002.116	\N	\N	2048	7356896c	a013ede292189a8f5a907de882ee1a573d784b3c	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	136002.117	\N	\N	2048	55952119	470d914fa52fce3786cb6330889876d3547dca65	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	136002.118	136002.118	\N	2048	beb352ab	f213166d3970e0bd0f29d8dea8d6afa6990cce38	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	vb_r3.bin	\N	\N	2048	c16ec351	a30a3662c740810c0f20e3712679606921b8ca06	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	vb_r1.bin	\N	\N	2048	1ae2dd53	b908ba6b59195aea853380a56a243aa8fa2fba71	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	vb_n3.bin	\N	\N	2048	29f7e937	686c8b9b8901262e743497cee7f2f7dd5cb3af7e	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	vb_h1.bin	\N	\N	2048	cd58fc11	060e31e55183ccef67a1adc91fb48c22424a4ba5	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	vb_d1.bin	\N	\N	2048	6fd3efe5	d195d08984ad8797607bc1989e8a606d51547c68	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	vb_e1.bin	\N	\N	2048	9974b9a5	6ecc6f72070895bb15992977348f58835233911f	\N	\N	\N	\N	\N	\N	
game_rom	TempestGL	vectorb	vb_f1.bin	\N	\N	2048	44d611d8	82cd63fc9067ea1f00feeffbee66e7d750cab7e5	\N	\N	\N	\N	\N	\N	
game	TempestGL	tempestm	\N	\N	tempest	tempest	\N	Tempest (Multi-game)	2001	Clay Cowgill	\N	\N	\N	
game_comment	TempestGL	tempestm	 CRC information from http://www.ionpool.net/arcade/atari/roms.html	
game_rom	TempestGL	tempestm	136002.113	136002.113	\N	2048	65d61fe7	38a1e8a8f65b7887cf3e190269fe4ce2c6f818aa	\N	\N	\N	\N	\N	\N	
