game	QSound_Player_v2	wof	\N	\N	\N	\N	\N	Warriors of Fate [sound only]	1992	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	vphj	vph_02.bin	\N	\N	131072	86b60e59	197d07ced8b9850729c83fa59b7afc283500bdee	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vphj	vphj_s11.bin	\N	\N	2097152	e1837d33	e3cb69f64767bacbec7286d0b4cd0ce7a0ba13d8	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	vphj	vphj_s12.bin	\N	\N	2097152	fbd3cd90	4813c25802ad71b77ca04fd8f3a86344f99f0d6a	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	dadtod	\N	\N	\N	\N	\N	Dungeons & Dragons: Tower of Doom [sound only]	1994	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	dadtod	dad-01.bin	\N	\N	131072	3f5e2424	4aa744576bc6752c43a90a27a816ebd90076b248	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	dadtod	dad-11m.bin	\N	\N	2097152	0c499b67	a8ebd8a1cd6dece8344b7cb0439d85843fb97616	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	dadtod	dad-12m.bin	\N	\N	2097152	2f0b5a4e	8d1ebbb811aa469b0f0d29d719d2b9af28fb63a2	\N	\N	\N	\N	\N	\N	
game	QSound_Player_v2	sfa	\N	\N	\N	\N	\N	Street Fighter Alpha: The Warriors Dream [sound only]	1995	Capcom	\N	\N	\N	
game_rom	QSound_Player_v2	sfa	sfz_01.rom	\N	\N	131072	ffffec7d	75b4aef001b72a0f571b51b2b97803facc1832dd	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfa	sfz_02.rom	\N	\N	131072	45f46a08	e32dbd27b52ab708278045b5a829376e55a4ca81	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfa	sfz_11-a.rom	\N	\N	524288	5aef5091	8942437d682128d25f5553d8487eda2fce941559	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfa	sfz_11-b.rom	\N	\N	524288	1a7b31a3	8cd302dac4c7b58577018819038946d6f20068b6	\N	\N	\N	\N	\N	\N	
game_rom	QSound_Player_v2	sfa	sfz_11-c.rom	\N	\N	524288	f4540c35	c56b4d01cde34fe01bac8cd3ed548af79e98eb14	\N	\N	\N	\N	\N	\N	
